cell_ID,lrtest_nlog10P,fastreseg_flag
f1_c1,,
f1_c2,,
f1_c3,0.598410656361648,FALSE
f1_c4,,
f1_c5,1.58451595369998,FALSE
f1_c6,0.333793979389299,FALSE
f1_c7,,
f1_c8,,
f1_c9,,
f1_c10,0.356970389591987,FALSE
f1_c11,,
f1_c12,1.83835491363649,FALSE
f1_c13,,
f1_c14,,
f1_c15,,
f1_c16,,
f1_c17,7.7364792882225,TRUE
f1_c18,17.2734109761152,TRUE
f1_c19,,
f1_c20,,
f1_c21,0.362001488194421,FALSE
f1_c22,,
f1_c23,1.86140709507929,FALSE
f1_c24,1.17350887606583,FALSE
f1_c25,2.8415602310852,FALSE
f1_c26,0.0302699420834707,FALSE
f1_c27,,
f1_c28,,
f1_c29,,
f1_c30,,
f1_c31,2.96420691178891,FALSE
f1_c32,,
f1_c33,3.92772796591984,FALSE
f1_c34,,
f1_c35,,
f1_c36,,
f1_c37,1.57036282688849,FALSE
f1_c38,,
f1_c39,,
f1_c40,,
f1_c41,,
f1_c42,2.62513512682132,FALSE
f1_c43,6.68571153104817,TRUE
f1_c44,1.25002930298933,FALSE
f1_c45,,
f1_c46,2.24660074648088,FALSE
f1_c47,,
f1_c48,,
f1_c49,,
f1_c50,,
f1_c51,0.898109780784771,FALSE
f1_c52,,
f1_c53,,
f1_c54,2.40903205621578,FALSE
f1_c55,1.88571218336559,FALSE
f1_c56,0.913149687939776,FALSE
f1_c57,0.604352633442683,FALSE
f1_c58,1.55900640499798,FALSE
f1_c59,,
f1_c60,9.0307801549958,TRUE
f1_c61,,
f1_c62,0.45628599065186,FALSE
f1_c63,,
f1_c64,2.46178060989923,FALSE
f1_c65,0.828696988858666,FALSE
f1_c66,6.16337364778152,TRUE
f1_c67,2.33541817554541,FALSE
f1_c68,33.0468673760394,TRUE
f1_c69,14.3244201300495,TRUE
f1_c70,3.25073425331876,FALSE
f1_c71,0.416419714155794,FALSE
f1_c72,2.72400753506784,FALSE
f1_c73,8.87728503585776,TRUE
f1_c74,4.51948784264232,FALSE
f1_c75,,
f1_c76,0.269965199110901,FALSE
f1_c77,0.188644561394729,FALSE
f1_c78,6.38046713938,TRUE
f1_c79,0.421444165422126,FALSE
f1_c80,,
f1_c81,,
f1_c82,0.892124633472917,FALSE
f1_c83,,
f1_c84,3.99671203089294,FALSE
f1_c85,0.945004101781134,FALSE
f1_c86,7.32094852282152,TRUE
f1_c87,7.09840519184473,TRUE
f1_c88,0.14360830922999,FALSE
f1_c89,,
f1_c90,0.75870152257145,FALSE
f1_c91,,
f1_c92,0.0782912565999235,FALSE
f1_c93,,
f1_c94,0.98089605342706,FALSE
f1_c95,,
f1_c96,8.62485752914291,TRUE
f1_c97,1.08765827304918,FALSE
f1_c98,2.21299527684301,FALSE
f1_c99,10.4012565654594,TRUE
f1_c100,8.67871613576853,TRUE
f1_c101,12.7010223937464,TRUE
f1_c102,,
f1_c103,,
f1_c104,,
f1_c105,2.49298049540301,FALSE
f1_c106,6.94911649838198,TRUE
f1_c107,17.3112665412999,TRUE
f1_c108,2.03546106373788,FALSE
f1_c109,,
f1_c110,3.17294949912181,FALSE
f1_c111,,
f1_c112,12.4898727465298,TRUE
f1_c113,25.3060724531163,TRUE
f1_c114,,
f1_c115,2.78968726380742,FALSE
f1_c116,0.361674906276428,FALSE
f1_c117,0.722807065719326,FALSE
f1_c118,,
f1_c119,,
f1_c120,7.712887100407,TRUE
f1_c121,0.806467760621617,FALSE
f1_c122,16.3233379043875,TRUE
f1_c123,1.08301186023005,FALSE
f1_c124,3.92789717015792,FALSE
f1_c125,,
f1_c126,0.398701587011957,FALSE
f1_c127,5.95231699977271,TRUE
f1_c128,22.765630606847,TRUE
f1_c129,,
f1_c130,,
f1_c131,11.4759558452102,TRUE
f1_c132,0.568395375237372,FALSE
f1_c133,,
f1_c134,2.31070466722001,FALSE
f1_c135,3.01795136480191,FALSE
f1_c136,6.52007859561378,TRUE
f1_c137,7.57809516557521,TRUE
f1_c138,0.868714231679056,FALSE
f1_c139,10.9984047298657,TRUE
f1_c140,1.66299273840386,FALSE
f1_c141,9.01178062814827,TRUE
f1_c142,1.35163214120042,FALSE
f1_c143,1.12958709289194,FALSE
f1_c144,2.69012844119468,FALSE
f1_c145,0.985681310687196,FALSE
f1_c146,,
f1_c147,0.990122496689905,FALSE
f1_c148,,
f1_c149,1.36114684458732,FALSE
f1_c150,,
f1_c151,,
f1_c152,2.60510186224344,FALSE
